Sample_ID,Crustacean Present,Chitinase,NAGase
EF1,No,Not Detectable,64.49046077
EB1,No,Not Detectable,105.1767034
EAN1,No,Not Detectable,343.7461831
EF2,Yes,0.00336,54.68057984
EB2,Yes,0.05974320988,70.3771835
EAN2,Yes,Not Detectable,66.55974948
EF3,No,0.0813382716,44.52897716
EB3,No,Not Detectable,28.952404
EAN3,No,0.01931111111,25.96239597
EF4,No,0.06469135802,63.8919103
EB4,No,0.001844444444,62.83341175
EAN4,No,0.114382716,149.9876285
EF5,Yes,0.02627160494,43.83925759
EB5,Yes,0.001844444444,61.06613486
EAN5,Yes,0.001382716049,
EF6,Yes,Not Detectable,44.08809252
EB6,Yes,Not Detectable,39.77547365
EAN6,Yes,0.001844444444,33.4930017
EF7,Yes,Not Detectable,42.15058281
EB7,Yes,0.003888888889,60.9351827
EAN7,Yes,Not Detectable,54.76715817
EF8,Yes,0.003288888889,39.41925018
EB8,Yes,Not Detectable,53.81583789
EAN8,Yes,Not Detectable,62.83255527
EF9,No,0.00139382716,
EB9,No,0.002959259259,82.11162855
EAN9,No,0.004869135802,56.35452955
EF10,Yes,0.0003209876543,67.31560574
EB10,Yes,0.003965432099,12.36901012
EAN10,Yes,0.004303703704,12.62154736
